日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
349,2014-03-27,57,44,49,10,58,14,58,良,NO2
350,2014-03-26,113,71,45,24,85,29,113,轻度污染,PM2.5
351,2014-03-25,82,61,24,17,90,22,90,良,NO2
352,2014-03-24,49,55,46,15,55,13,55,良,PM10
353,2014-03-23,42,52,58,12,35,10,58,良,O3
354,2014-03-22,58,63,76,18,63,14,76,良,O3
355,2014-03-21,38,59,50,15,62,13,62,良,NO2
356,2014-03-20,83,72,54,19,50,18,83,良,PM2.5
357,2014-03-19,90,112,42,12,57,18,112,轻度污染,PM10
358,2014-03-18,176,127,83,34,104,33,176,中度污染,PM2.5
359,2014-03-17,105,83,67,24,92,26,105,轻度污染,PM2.5
360,2014-03-16,87,78,85,22,70,18,87,良,PM2.5
361,2014-03-15,104,85,84,29,85,19,104,轻度污染,PM2.5
362,2014-03-14,104,85,47,38,102,22,104,轻度污染,PM2.5
363,2014-03-13,48,60,39,20,57,15,60,良,PM10
364,2014-03-12,43,23,30,14,62,18,62,良,NO2
365,2014-03-11,65,55,63,18,48,14,65,良,PM2.5
366,2014-03-10,200,106,57,34,99,30,200,中度污染,PM2.5
367,2014-03-09,112,78,47,31,97,25,112,轻度污染,PM2.5
368,2014-03-08,60,53,50,14,44,14,60,良,PM2.5
369,2014-03-07,36,41,45,13,47,12,47,优,-
370,2014-03-06,30,39,40,10,43,12,43,优,-
371,2014-03-05,53,52,47,13,39,15,53,良,PM2.5
372,2014-03-04,32,36,28,13,65,15,65,良,NO2
373,2014-03-03,45,55,50,13,47,15,55,良,PM10
374,2014-03-02,72,63,55,19,49,20,72,良,PM2.5
375,2014-03-01,36,30,33,10,52,15,52,良,NO2
376,2014-02-28,109,67,35,11,55,25,109,轻度污染,PM2.5
377,2014-02-27,125,76,25,28,103,32,125,轻度污染,PM2.5
378,2014-02-26,69,53,41,10,64,22,69,良,PM2.5
379,2014-02-25,29,11,41,9,42,13,42,优,-
380,2014-02-24,109,63,34,15,78,21,109,轻度污染,PM2.5
381,2014-02-23,114,77,63,23,60,20,114,轻度污染,PM2.5
382,2014-02-22,74,53,46,16,53,16,74,良,PM2.5
383,2014-02-21,113,73,62,32,78,23,113,轻度污染,PM2.5
384,2014-02-20,169,92,41,53,95,34,169,中度污染,PM2.5
385,2014-02-19,88,64,26,26,78,27,88,良,PM2.5
386,2014-02-18,35,27,39,10,39,15,39,优,-
387,2014-02-17,39,26,34,12,59,17,59,良,NO2
388,2014-02-16,29,21,34,10,53,12,53,良,NO2
389,2014-02-15,39,36,40,14,50,12,50,优,-
390,2014-02-14,58,55,44,17,47,17,58,良,PM2.5
391,2014-02-13,33,38,38,12,35,14,38,优,-
392,2014-02-12,35,30,36,13,40,15,40,优,-
393,2014-02-11,50,43,33,18,42,15,50,优,-
394,2014-02-10,39,36,35,14,32,13,39,优,-
395,2014-02-09,63,53,36,18,30,17,63,良,PM2.5
396,2014-02-08,59,49,37,18,34,17,59,良,PM2.5
397,2014-02-07,16,11,36,9,30,13,36,优,-
398,2014-02-06,12,6,32,9,32,11,32,优,-
399,2014-02-05,19,24,38,10,25,10,38,优,-
400,2014-02-04,26,42,43,15,18,10,43,优,-
401,2014-02-03,59,56,39,12,24,17,59,良,PM2.5
402,2014-02-02,232,124,32,13,50,47,232,重度污染,PM2.5
403,2014-02-01,90,59,48,15,58,19,90,良,PM2.5
404,2014-01-31,182,84,66,19,35,25,182,中度污染,PM2.5
405,2014-01-30,245,121,38,29,70,41,245,重度污染,PM2.5
406,2014-01-29,79,62,34,16,64,18,79,良,PM2.5
407,2014-01-28,69,61,38,24,59,20,69,良,PM2.5
408,2014-01-27,25,34,37,14,57,12,57,良,NO2
409,2014-01-26,35,47,37,15,34,11,47,优,-
410,2014-01-25,130,88,39,30,68,24,130,轻度污染,PM2.5
411,2014-01-24,40,38,35,20,57,13,57,良,NO2
412,2014-01-23,57,48,36,21,67,15,67,良,NO2
413,2014-01-22,68,57,21,37,85,23,85,良,NO2
414,2014-01-21,58,70,33,30,60,18,70,良,PM10
415,2014-01-20,237,156,23,59,104,44,237,重度污染,PM2.5
416,2014-01-19,158,89,43,36,87,31,158,中度污染,PM2.5
417,2014-01-18,211,112,37,46,77,33,211,重度污染,PM2.5
418,2014-01-17,130,85,20,38,111,32,130,轻度污染,PM2.5
419,2014-01-16,103,73,37,27,97,25,103,轻度污染,PM2.5
420,2014-01-15,45,46,38,21,64,14,64,良,NO2
421,2014-01-14,28,31,35,16,54,13,54,良,NO2
422,2014-01-13,57,45,34,23,43,14,57,良,PM2.5
423,2014-01-12,115,75,39,31,65,23,115,轻度污染,PM2.5
424,2014-01-11,60,52,34,22,62,16,62,良,NO2
425,2014-01-10,62,67,36,28,65,18,67,良,PM10
426,2014-01-09,39,55,33,21,44,14,55,良,PM10
427,2014-01-08,52,39,35,16,54,15,54,良,NO2
428,2014-01-07,68,52,33,19,88,22,88,良,NO2
429,2014-01-06,45,42,36,20,67,17,67,良,NO2
430,2014-01-05,72,62,17,29,93,24,93,良,NO2
431,2014-01-04,137,87,25,40,84,28,137,轻度污染,PM2.5
432,2014-01-03,195,117,29,57,117,37,195,中度污染,PM2.5
433,2014-01-02,139,90,37,39,113,33,139,轻度污染,PM2.5
434,2014-01-01,195,122,37,58,120,45,195,中度污染,PM2.5
435,2013-12-31,147,105,31,57,117,33,147,轻度污染,PM2.5
436,2013-12-30,172,113,28,62,114,39,172,中度污染,PM2.5
437,2013-12-29,196,126,18,72,110,47,196,中度污染,PM2.5
438,2013-12-28,132,100,20,65,104,38,132,轻度污染,PM2.5
439,2013-12-27,77,68,24,45,73,25,77,良,PM2.5
440,2013-12-26,274,159,12,72,107,46,274,重度污染,PM2.5
441,2013-12-25,139,85,23,44,104,34,139,轻度污染,PM2.5
442,2013-12-24,178,103,29,59,93,38,178,中度污染,PM2.5
443,2013-12-23,80,59,33,30,78,23,80,良,PM2.5
444,2013-12-22,74,55,28,31,75,21,75,良,NO2
